cigar,3,639,540,844,1679,629,1043,563,1570,765,637,1141,578,999,1174,678,603,785,590,609,903,666,564,921,956,,777,589,647,666,481
cow,3,616,655,692,570,568,593,869,693,526,628,828,1412,636,580,520,619,635,636,697,556,581,518,566,616,644,591,633,757,514,444
desk,3,703,639,679,1207,686,645,745,742,712,674,796,523,626,700,647,832,527,590,732,660,622,600,608,615,805,775,463,,703,622
garlic,3,822,823,622,1145,583,803,664,703,,670,,679,,822,651,752,674,,889,722,729,,695,,720,706,,581,718,615
mushroom,3,654,864,1106,1648,793,607,582,808,641,666,530,796,737,626,631,677,1087,617,835,803,705,652,656,722,,775,629,633,733,676
oak,3,599,629,1017,604,508,1002,635,2577,667,589,1239,,1086,590,553,636,631,752,,,662,871,669,663,599,726,518,,,
olive,3,631,620,1059,1567,608,939,590,1805,565,707,758,,,623,571,,717,,880,774,607,,620,697,722,904,655,604,614,543
pony,3,611,674,881,,,759,630,1558,908,953,690,526,694,581,630,792,550,668,527,737,520,648,598,590,560,813,460,595,889,789
pumpkin,3,520,702,611,1756,526,633,598,,588,738,564,564,781,628,601,654,677,692,649,719,852,657,645,643,559,714,528,628,752,784
rabbit,3,628,587,1079,627,504,806,681,,572,605,684,591,813,1112,568,671,620,696,700,604,617,626,627,623,860,683,551,588,759,539
raccoon,3,737,604,856,898,554,587,571,745,599,715,609,640,1098,834,542,710,609,574,732,874,660,635,638,672,598,760,736,563,864,469
rocket,3,559,621,712,856,483,984,739,811,616,648,725,671,643,691,703,602,838,671,990,594,605,632,587,,539,646,752,630,692,604
rooster,3,696,606,915,855,532,702,,1066,679,609,706,,703,808,560,679,808,589,858,603,681,679,739,623,614,734,511,668,728,557
sled,3,664,618,1026,,662,759,724,2218,789,722,636,701,808,985,565,750,800,645,1069,746,650,785,807,649,600,686,673,967,748,573
spider,3,578,952,1550,1152,647,630,631,2283,558,650,972,527,738,1045,620,640,802,615,757,663,784,,570,655,,730,617,661,650,540
tractor,3,725,600,766,692,527,843,704,1078,841,861,902,1064,797,654,563,803,802,735,599,805,632,595,,574,658,613,590,719,658,557
turkey,3,631,632,769,2294,525,594,608,691,629,833,568,526,716,726,576,644,702,595,651,600,619,670,706,649,654,587,552,646,691,578
worm,3,1007,694,625,,593,,758,1138,653,669,805,526,1171,,528,740,798,589,906,,928,746,623,671,639,723,,619,662,518
axe,4,665,632,826,919,669,855,642,735,785,647,780,731,693,1032,646,687,767,691,717,825,796,633,844,682,,835,658,656,913,503
basket,4,699,700,714,,513,624,764,963,593,631,731,557,816,1191,547,689,751,615,673,731,520,673,692,713,594,948,585,551,655,565
brick,4,717,668,874,643,731,821,747,621,669,670,866,594,828,806,607,679,1108,590,637,781,683,767,613,601,1011,769,706,,534,602
candle,4,648,703,981,652,590,1371,659,1595,569,1060,748,708,597,685,710,851,,662,766,695,722,572,635,652,618,800,639,552,945,594
carpet,4,649,667,838,689,580,872,619,1772,735,737,659,545,706,758,512,557,,655,677,576,623,607,710,625,944,847,650,551,799,
carrot,4,559,548,917,584,605,711,628,857,648,608,439,603,663,651,638,823,577,536,804,667,587,631,517,843,517,771,749,549,747,449
cat,4,511,671,1146,,486,606,714,2701,510,679,887,518,685,566,465,514,741,846,1111,611,604,594,767,634,567,654,503,714,567,564
chimp,4,1008,627,1587,225,538,1069,666,840,816,801,752,862,515,706,626,612,917,581,618,793,761,791,662,585,742,1039,584,612,749,551
closet,4,622,674,728,610,564,641,891,1621,609,681,462,684,827,1251,586,709,687,647,811,,676,734,689,896,889,783,576,632,873,620
corn,4,677,594,700,1027,518,639,515,1070,635,633,574,588,709,648,651,638,690,870,823,692,598,694,581,625,610,767,655,527,975,765
coyote,4,565,672,645,2049,565,623,656,1176,660,617,966,624,599,733,556,721,696,560,637,739,687,603,648,672,540,770,972,639,656,606
crown,4,650,788,853,890,716,752,656,694,894,853,773,829,706,,603,891,799,607,768,,,882,873,,1072,,782,698,1049,719
dolphin,4,642,834,708,,554,695,775,2567,838,573,928,606,1090,759,615,638,,581,646,706,691,598,624,666,634,1045,587,626,715,608
gown,4,838,866,930,952,726,766,,2373,,944,1137,,1107,,683,976,792,793,918,1075,,854,627,743,1108,890,837,740,856,633
guitar,4,597,598,643,904,566,626,639,792,835,553,689,760,754,1013,686,680,695,641,657,,568,568,647,711,652,598,,760,612,724
helmet,4,587,667,746,683,599,680,619,744,696,1059,738,685,597,865,620,950,637,600,891,694,783,650,520,594,649,770,630,686,779,537
hyena,4,1049,754,1331,,668,936,,895,977,,,924,1112,838,845,749,741,950,967,,774,822,,,715,985,690,575,,
lemon,4,590,614,813,993,505,718,712,1723,788,636,711,654,686,822,616,918,753,893,623,1180,599,584,616,723,821,708,678,693,621,
pepper,4,670,807,1044,1146,767,643,952,2817,1010,743,678,633,1039,,479,708,829,,656,768,734,574,616,626,550,629,578,954,683,
raft,4,768,694,877,849,608,829,672,870,887,601,806,768,826,,800,520,910,718,1023,811,659,,860,683,729,820,632,608,725,532
rope,4,628,739,654,,908,671,632,1143,787,599,614,736,840,912,653,798,822,618,739,704,766,719,590,985,709,901,673,647,,677
saddle,4,741,627,715,714,615,1337,,2636,888,1082,577,735,841,672,,825,902,636,,952,690,796,894,710,809,803,670,557,687,742
skirt,4,776,676,,784,756,620,577,954,1061,614,1026,654,667,,580,667,685,800,826,829,597,,618,,601,609,653,657,637,
tripod,4,,863,859,902,774,1297,,1188,894,816,751,747,1186,931,719,918,1113,,906,1049,958,877,871,800,777,,683,679,,678
