"","Subject","Group","Block","ColorTMS.Block.","Confidence.RESP.Block.","correctResponseButton","correctRT.Block.","GrayTMS.Block.","leftStimulus.Block.","Number.Block.","NumberResponse.Block.","PracticeList","PracticeList.Cycle","PracticeList.Sample","Reaction.RT.Block.","Response.RESP.Block.","ResponseAccuracy.Block.","responseHand","rightStimulus.Block.","Running.Block.","StimulusColor.Block.","TMS","Trial","Hemisphere","Procedure.Trial.","Running.Trial.","SubTrial","CenterColorList","CenterColorList.Cycle","CenterColorList.Sample","LeftColorList","LeftColorList.Cycle","LeftColorList.Sample","Procedure.SubTrial.","RightColorList","RightColorList.Cycle","RightColorList.Sample","Running.SubTrial.","StimulusColor.SubTrial.","VariOhje","VariOhje2","LogLevel5","CenterTrialList","CenterTrialList.Cycle","CenterTrialList.Sample","ColorTMS.LogLevel5.","Confidence.RESP.LogLevel5.","correctRT.LogLevel5.","GrayTMS.LogLevel5.","leftStimulus.LogLevel5.","LeftTrialList","LeftTrialList.Cycle","LeftTrialList.Sample","Number.LogLevel5.","NumberResponse.LogLevel5.","Procedure.LogLevel5.","Reaction.RT.LogLevel5.","Response.RESP.LogLevel5.","ResponseAccuracy.LogLevel5.","rightStimulus.LogLevel5.","RightTrialList","RightTrialList.Cycle","RightTrialList.Sample","Running.LogLevel5.","virhe","expTrial","virhe.edellinen"
"60","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",20,NA,NA,NA,0,4,324,1,1,1,1,20,"1",1,"LeftTrialProc",308,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"64","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",24,NA,NA,NA,1,4,289,0,1,3,1,24,"2",1,"LeftTrialProc",273,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"67","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",27,NA,NA,NA,0,4,308,1,1,1,1,27,"1",1,"LeftTrialProc",291,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"68","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",28,NA,NA,NA,0,4,297,1,1,1,1,28,"1",1,"LeftTrialProc",280,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"70","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",30,NA,NA,NA,0,4,274,1,1,1,1,30,"1",1,"LeftTrialProc",257,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"71","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",31,NA,NA,NA,0,4,315,1,1,1,1,31,"1",1,"LeftTrialProc",298,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"72","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",32,NA,NA,NA,0,4,328,1,1,1,1,32,"1",1,"LeftTrialProc",311,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"78","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",38,NA,NA,NA,0,4,300,1,1,1,1,38,"1",1,"LeftTrialProc",283,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"80","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",40,NA,NA,NA,0,4,341,1,1,1,1,40,"1",1,"LeftTrialProc",324,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"82","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",42,NA,NA,NA,0,4,325,1,1,1,1,42,"1",1,"LeftTrialProc",308,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"85","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",45,NA,NA,NA,0,4,378,1,1,1,1,45,"1",1,"LeftTrialProc",361,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"89","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",49,NA,NA,NA,0,4,343,1,1,1,1,49,"1",1,"LeftTrialProc",326,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"94","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",54,NA,NA,NA,1,4,386,0,1,3,1,54,"2",1,"LeftTrialProc",369,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"98","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",58,NA,NA,NA,1,4,338,0,1,3,1,58,"2",1,"LeftTrialProc",321,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"99","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",59,NA,NA,NA,1,4,431,0,1,3,1,59,"2",1,"LeftTrialProc",414,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"101","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",1,NA,NA,NA,1,4,305,0,1,3,2,61,"2",1,"LeftTrialProc",288,1,0,1,NA,NA,NA,"LeftTrialList",0,1,NA
"102","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",2,NA,NA,NA,0,4,309,1,1,1,2,62,"1",1,"LeftTrialProc",292,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"106","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",6,NA,NA,NA,0,4,348,1,1,1,2,66,"1",1,"LeftTrialProc",331,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"110","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",10,NA,NA,NA,0,4,348,1,1,1,2,70,"1",1,"LeftTrialProc",332,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"111","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",11,NA,NA,NA,0,4,301,1,1,1,2,71,"1",1,"LeftTrialProc",284,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"112","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",12,NA,NA,NA,0,4,354,1,1,1,2,72,"1",1,"LeftTrialProc",337,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"113","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",13,NA,NA,NA,1,4,330,0,1,3,2,73,"2",1,"LeftTrialProc",313,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"114","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",14,NA,NA,NA,0,4,314,1,1,1,2,74,"1",1,"LeftTrialProc",297,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"115","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",15,NA,NA,NA,0,4,359,1,1,1,2,75,"1",1,"LeftTrialProc",342,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"116","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",16,NA,NA,NA,0,4,340,1,1,1,2,76,"1",1,"LeftTrialProc",324,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"117","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",17,NA,NA,NA,0,4,413,1,1,1,2,77,"1",1,"LeftTrialProc",396,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"122","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",22,NA,NA,NA,0,4,352,1,1,1,2,82,"1",1,"LeftTrialProc",335,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"124","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",24,NA,NA,NA,1,4,336,0,1,3,2,84,"2",1,"LeftTrialProc",320,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"125","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",25,NA,NA,NA,1,4,330,0,1,3,2,85,"2",1,"LeftTrialProc",313,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"128","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",28,NA,NA,NA,0,4,398,1,1,1,2,88,"1",1,"LeftTrialProc",381,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"132","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",32,NA,NA,NA,1,4,362,0,1,3,2,92,"2",1,"LeftTrialProc",345,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"134","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",34,NA,NA,NA,0,4,370,1,1,1,2,94,"1",1,"LeftTrialProc",353,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"136","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",36,NA,NA,NA,1,4,349,0,1,3,2,96,"2",1,"LeftTrialProc",332,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"147","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",47,NA,NA,NA,0,4,306,1,1,1,2,107,"1",1,"LeftTrialProc",290,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"148","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",48,NA,NA,NA,0,4,317,1,1,1,2,108,"1",1,"LeftTrialProc",300,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"150","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",50,NA,NA,NA,1,4,345,0,1,3,2,110,"2",1,"LeftTrialProc",328,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"152","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",52,NA,NA,NA,0,4,304,1,1,1,2,112,"1",1,"LeftTrialProc",287,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"153","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",53,NA,NA,NA,1,4,297,0,1,3,2,113,"2",1,"LeftTrialProc",280,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"155","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",55,NA,NA,NA,0,4,299,1,1,1,2,115,"1",1,"LeftTrialProc",282,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"157","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",57,NA,NA,NA,0,4,329,1,1,1,2,117,"1",1,"LeftTrialProc",312,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"158","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",58,NA,NA,NA,1,4,289,0,1,3,2,118,"2",1,"LeftTrialProc",272,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"159","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,1,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",59,NA,NA,NA,1,4,308,0,1,3,2,119,"2",1,"LeftTrialProc",291,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"287","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",1,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,1,"RightColorList","Blue","SINISEN","sini",7,NA,NA,NA,1,4,318,0,1,NA,NA,NA,"2",1,"RightTrialProc",301,1,0,1,3,1,7,"RightTrialList",0,1,0
"298","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",1,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,1,"RightColorList","Blue","SINISEN","sini",18,NA,NA,NA,0,4,393,1,0,NA,NA,NA,"1",1,"RightTrialProc",376,1,1,1,2,1,18,"RightTrialList",0,1,0
"303","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",1,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,1,"RightColorList","Blue","SINISEN","sini",23,NA,NA,NA,0,4,399,1,0,NA,NA,NA,"1",1,"RightTrialProc",383,1,1,1,2,1,23,"RightTrialList",0,1,0
"305","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",1,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,1,"RightColorList","Blue","SINISEN","sini",25,NA,NA,NA,1,4,304,0,1,NA,NA,NA,"2",1,"RightTrialProc",287,1,0,1,3,1,25,"RightTrialList",0,1,0
