,exp,non_directional.statistic,non_directional.p,non_directional.ci_low,non_directional.ci_high,directional_effect.statistic,directional_effect.p,directional_effect.ci_low,directional_effect.ci_high,quid_bf,pbt.low,pbt.high,pbt.MAP
15,Faivre et al._4_incong,0.518909091,0.3875,0.392452273,0.645,-12.68225883,0.5332,-49.96658649,26.32977641,12.64449825,0,0.122123389,0
16,Hurme et al_2020_Masking_Blue,0.669066667,0.0355,0.5448,0.7932,20.4693886,0.0292,2.750907824,35.10516066,0.036797686,0.010019755,0.394212924,0.157894737
17,Hurme et al_2020_Masking_Red,0.563142857,0.1496,0.406285714,0.713,15.77176985,0.029,3.369919815,28.04707874,0.255141372,0,0.253234319,0.022556391
18,Hurme et al_2020_TMS_Blue,0.616666667,0.0522,0.466,0.762666667,-3.086023184,0.6378,-15.6702345,8.864419002,5.569622355,0,0.290432245,0.035087719
19,Hurme et al_2020_TMS_Red,0.586833333,0.1323,0.426333333,0.745833333,-5.391886281,0.597,-23.67183505,11.21858626,2.180966937,0,0.205816665,0
20,Noel et al._2020_A,0.496758621,0.5849,0.386551724,0.609931034,8.50729982,0.0268,1.536663391,15.54084282,4.511980039,0,0.201165479,0.056261343
21,Noel et al._2020_AV,0.657428571,0.0011,0.533928571,0.774,19.20094273,0.0028,8.028799253,31.7041822,4.34E-06,0.099899834,0.43415101,0.248120301
22,Noel et al._2020_V,0.594551724,0.0135,0.492827586,0.693517241,13.67607611,4.00E-04,6.797108405,21.19661579,0.119857016,0,0.242392181,0.092558984
23,Skora et al_2020_1,0.623459459,1.00E-04,0.526756757,0.715081081,0.034427724,0.4624,-0.053893619,0.124356681,-99999,0.003953667,0.221662035,0.089615932
24,Skora et al_2020_2,0.532315789,0.2487,0.360102632,0.701160526,-0.098642143,0.329,-0.287820198,0.088172648,-99999,0,0.310023078,0.113573407
25,Stein & van Peelen_2020_3_LOC_1,0.525085106,0.1857,0.465638298,0.58487234,0.043744033,0.4102,-0.058286276,0.144052332,-99999,0,0.078548539,0.014557671
26,Stein & van Peelen_2020_3_LOC_2,0.499170213,0.4194,0.43612766,0.562872872,0.224857354,0,0.12030195,0.333487501,-99999,0.013879584,0.148262041,0.070548712
27,Stein & van Peelen_2020_3_PAS_1,0.445638298,0.9749,0.390254787,0.501106383,-0.010548544,0.8328,-0.101470784,0.079498788,-99999,0,0.041961405,0
28,Stein & van Peelen_2020_3_PAS_2,0.591659574,4.00E-04,0.532617021,0.650021277,-0.272507734,0,-0.38317593,-0.161307178,-99999,0.013879584,0.148262041,0.070548712
29,Stein & van Peelen_2020_4b_1,0.49264,0.4763,0.41648,0.569801,0.020570838,0.7132,-0.086819924,0.134535034,-99999,0,0.130252715,0.031578947
30,Zerweck et al_2021_2_20,0.4287,0.8579,0.3165975,0.5479025,-2.606601667,0.553,-10.67048704,5.68600551,8.106202753,0,0.132945911,0
31,Zerweck et al_2021_2_29,0.4928,0.6081,0.371,0.6136,4.690207083,0.38,-5.181176625,14.54424205,4.576282885,0,0.132945911,0
32,Zerweck et al_2021_2_39,0.4755,0.7149,0.3526,0.6011,1.808966667,0.7486,-8.319256458,12.8172654,5.531407522,0,0.1811317,0
33,Zerweck et al_2021_3_Duration_10,0.354923077,0.9541,0.243538462,0.474923077,-0.792982212,0.6674,-4.231580374,2.650651478,51.77100448,0,0.192636176,0
34,Zerweck et al_2021_3_Duration_20,0.562727273,0.251,0.364363636,0.744909091,-6.621609801,0.1436,-14.25445022,1.008316713,4.133477595,0,0.220922192,0
35,Zerweck et al_2021_3_Duration_30,0.507166667,0.3537,0.370833333,0.645833333,-1.410109217,0.6566,-7.06395364,4.822643404,22.0540264,0,0.205816665,0
36,Zerweck et al_2021_3_Duration_40,0.620666667,0.0377,0.4504,0.784,11.8311587,0.0052,5.042570771,18.7378339,0.005071307,0.096376375,0.551065856,0.298245614
