Subject	Group	Block	ColorTMS[Block]	Confidence.RESP[Block]	correctResponseButton	correctRT[Block]	GrayTMS[Block]	leftStimulus[Block]	Number[Block]	NumberResponse[Block]	PracticeList	PracticeList.Cycle	PracticeList.Sample	Reaction.RT[Block]	Response.RESP[Block]	ResponseAccuracy[Block]	responseHand	rightStimulus[Block]	Running[Block]	StimulusColor[Block]	TMS	Trial	Hemisphere	Procedure[Trial]	Running[Trial]	SubTrial	CenterColorList	CenterColorList.Cycle	CenterColorList.Sample	LeftColorList	LeftColorList.Cycle	LeftColorList.Sample	Procedure[SubTrial]	RightColorList	RightColorList.Cycle	RightColorList.Sample	Running[SubTrial]	StimulusColor[SubTrial]	VariOhje	VariOhje2	LogLevel5	CenterTrialList	CenterTrialList.Cycle	CenterTrialList.Sample	ColorTMS[LogLevel5]	Confidence.RESP[LogLevel5]	correctRT[LogLevel5]	GrayTMS[LogLevel5]	leftStimulus[LogLevel5]	LeftTrialList	LeftTrialList.Cycle	LeftTrialList.Sample	Number[LogLevel5]	NumberResponse[LogLevel5]	Procedure[LogLevel5]	Reaction.RT[LogLevel5]	Response.RESP[LogLevel5]	ResponseAccuracy[LogLevel5]	rightStimulus[LogLevel5]	RightTrialList	RightTrialList.Cycle	RightTrialList.Sample	Running[LogLevel5]
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	10				0	3	319	1	1	1	1	10	1	1	LeftTrialProc	302	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	11				1	4	291	0	1	3	1	11	2	1	LeftTrialProc	274	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	12				0	4	326	1	1	1	1	12	1	1	LeftTrialProc	309	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	13				0	2	323	1	1	1	1	13	1	0	LeftTrialProc	306	3	0	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	14				0	4	0	1	0	4	1	14	0	0	LeftTrialProc	0	3	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	15				0	4	334	1	1	1	1	15	1	1	LeftTrialProc	317	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	16				1	4	306	0	1	3	1	16	2	1	LeftTrialProc	289	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	17				0	3	369	1	1	1	1	17	1	1	LeftTrialProc	352	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	18				1	4	333	0	1	3	1	18	2	1	LeftTrialProc	316	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	19				0	3	0	1	0	4	1	19	0	0	LeftTrialProc	0	3	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	20				0	4	324	1	1	1	1	20	1	1	LeftTrialProc	308	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	21				1	4	0	0	0	2	1	21	1	0	LeftTrialProc	0	3	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	22				0	2	320	1	1	1	1	22	1	1	LeftTrialProc	303	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	23				1	4	0	0	0	2	1	23	1	0	LeftTrialProc	0	3	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	24				1	4	289	0	1	3	1	24	2	1	LeftTrialProc	273	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	25				1	4	0	0	0	2	1	25	1	0	LeftTrialProc	0	3	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	26				1	2	431	0	1	3	1	26	2	1	LeftTrialProc	414	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	27				0	4	308	1	1	1	1	27	1	1	LeftTrialProc	291	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	28				0	4	297	1	1	1	1	28	1	1	LeftTrialProc	280	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	29				1	4	0	0	0	2	1	29	1	0	LeftTrialProc	0	3	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	30				0	4	274	1	1	1	1	30	1	1	LeftTrialProc	257	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	31				0	4	315	1	1	1	1	31	1	1	LeftTrialProc	298	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	32				0	4	328	1	1	1	1	32	1	1	LeftTrialProc	311	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	33				1	3	428	0	1	3	1	33	2	1	LeftTrialProc	412	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	34				0	4	0	1	0	4	1	34	0	0	LeftTrialProc	0	3	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	35				1	2	0	0	0	2	1	35	1	0	LeftTrialProc	0	3	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	36				1	4	0	0	0	2	1	36	1	0	LeftTrialProc	0	3	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	37				0	3	0	1	0	4	1	37	0	0	LeftTrialProc	0	3	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	38				0	4	300	1	1	1	1	38	1	1	LeftTrialProc	283	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	39				0	4	0	1	0	4	1	39	0	0	LeftTrialProc	0	3	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	40				0	4	341	1	1	1	1	40	1	1	LeftTrialProc	324	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	41				1	3	412	0	1	3	1	41	2	1	LeftTrialProc	395	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	42				0	4	325	1	1	1	1	42	1	1	LeftTrialProc	308	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	43				1	4	0	0	0	2	1	43	1	0	LeftTrialProc	0	3	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	44				1	3	355	0	1	3	1	44	2	1	LeftTrialProc	338	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	45				0	4	378	1	1	1	1	45	1	1	LeftTrialProc	361	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	46				0	4	0	1	0	4	1	46	0	0	LeftTrialProc	0	3	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	47				1	3	0	0	0	2	1	47	1	0	LeftTrialProc	0	3	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	48				1	4	320	0	1	3	1	48	2	2	LeftTrialProc	303	2	1	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	49				0	4	343	1	1	1	1	49	1	1	LeftTrialProc	326	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	50				0	4	0	1	0	4	1	50	0	0	LeftTrialProc	0	3	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	51				1	4	392	0	1	3	1	51	2	2	LeftTrialProc	375	2	1	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	52				0	3	337	1	1	1	1	52	1	1	LeftTrialProc	320	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	53				0	4	0	1	0	4	1	53	0	0	LeftTrialProc	0	3	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	54				1	4	386	0	1	3	1	54	2	1	LeftTrialProc	369	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	55				0	2	328	1	1	1	1	55	1	1	LeftTrialProc	312	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	56				0	4	0	1	0	4	1	56	0	0	LeftTrialProc	0	3	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	57				1	4	323	0	1	3	1	57	2	2	LeftTrialProc	306	2	1	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	58				1	4	338	0	1	3	1	58	2	1	LeftTrialProc	321	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	59				1	4	431	0	1	3	1	59	2	1	LeftTrialProc	414	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	60				1	4	0	0	0	2	1	60	1	0	LeftTrialProc	0	3	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	1				1	4	305	0	1	3	2	61	2	1	LeftTrialProc	288	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	2				0	4	309	1	1	1	2	62	1	1	LeftTrialProc	292	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	3				1	4	0	0	0	2	2	63	1	0	LeftTrialProc	0	3	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	4				1	3	445	0	1	3	2	64	2	1	LeftTrialProc	429	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	5				1	4	458	0	0	2	2	65	1	1	LeftTrialProc	442	1	1	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	6				0	4	348	1	1	1	2	66	1	1	LeftTrialProc	331	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	7				1	2	0	0	0	2	2	67	1	1	LeftTrialProc	0	1	1	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	8				0	4	0	1	0	4	2	68	0	0	LeftTrialProc	0	3	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	9				0	4	0	1	0	4	2	69	0	0	LeftTrialProc	0	3	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	10				0	4	348	1	1	1	2	70	1	1	LeftTrialProc	332	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	11				0	4	301	1	1	1	2	71	1	1	LeftTrialProc	284	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	12				0	4	354	1	1	1	2	72	1	1	LeftTrialProc	337	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	13				1	4	330	0	1	3	2	73	2	1	LeftTrialProc	313	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	14				0	4	314	1	1	1	2	74	1	1	LeftTrialProc	297	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	15				0	4	359	1	1	1	2	75	1	1	LeftTrialProc	342	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	16				0	4	340	1	1	1	2	76	1	1	LeftTrialProc	324	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	17				0	4	413	1	1	1	2	77	1	1	LeftTrialProc	396	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	18				0	4	0	1	0	4	2	78	0	0	LeftTrialProc	0	3	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	19				0	3	360	1	1	1	2	79	1	1	LeftTrialProc	343	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	20				0	3	401	1	1	1	2	80	1	1	LeftTrialProc	384	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	21				0	4	0	1	0	4	2	81	0	0	LeftTrialProc	0	3	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	22				0	4	352	1	1	1	2	82	1	1	LeftTrialProc	335	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	23				1	4	0	0	0	2	2	83	1	0	LeftTrialProc	0	3	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	2				1	1	2	LeftColorProc				LeftColorList	Red	PUNAISEN	punai	24				1	4	336	0	1	3	2	84	2	1	LeftTrialProc	320	1	0	1				LeftTrialList
